doc_id,manuals_id,title,filename_download,file_id,modified_on
rural,475,Rural Health Clinics (RHCs) and Federally Qualified Health Centers (FQHCs) (rural),rural.pdf,C983B7D9-42B3-4543-BF93-D272AB764BDD,2026-07-16T16:54:22
ruralcd,476,Rural Health Clinics (RHCs) and Federally Qualified Health Centers (FQHCs):  Billing Codes (rural cd),ruralcd.pdf,2D80A3B6-A32B-4131-BE63-12EE7243A849,2026-06-16T15:46:44
ruralex,477,Rural Health Clinics (RHCs) and Federally Qualified Health Centers (FQHCs) Billing Examples (rural ex),ruralex.pdf,08EC7DD1-AABE-4187-9D9E-F155C3DAF1CA,2023-08-06T01:58:46
ruralhosp,478,Rural Hospital Swing Bed Program (rural hosp),ruralhosp.pdf,3E8C0259-6D59-4F20-BFA3-E5AE5754F39D,2024-01-16T18:04:36
